step_id,candidate_id,base_x,base_y,base_z,base_yaw,x,y,z,yaw,dx,dy,dyaw,distance_to_robot,is_valid,is_reachable,collision_risk,collision_penalty,path_cost,path_cost_method,visible_unknown_cells,information_gain,information_gain_method,score,selected_by_classical,failure_reason
0,20,-0.0,-2.1994,0.5967,0.0,3.326,-0.8218,0.5967,0.3927,3.326,1.3777,0.3927,3.6,True,True,False,0.0,4.6413,astar_bev_grid_unknown_penalty,97,97,real_sensor_bev_unknown_visibility,96.0717,False,
0,21,-0.0,-2.1994,0.5967,0.0,1.3777,1.1266,0.5967,1.1781,1.3777,3.326,1.1781,3.6,True,True,False,0.0,6.3185,astar_bev_grid_unknown_penalty,218,218,real_sensor_bev_unknown_visibility,216.7363,False,
0,22,-0.0,-2.1994,0.5967,0.0,-1.3777,1.1266,0.5967,1.9635,-1.3777,3.326,1.9635,3.6,True,True,False,0.0,6.3599,astar_bev_grid_unknown_penalty,218,218,real_sensor_bev_unknown_visibility,216.728,False,
0,23,-0.0,-2.1994,0.5967,0.0,-3.326,-0.8218,0.5967,2.7489,-3.326,1.3777,2.7489,3.6,True,True,False,0.0,6.4185,astar_bev_grid_unknown_penalty,218,218,real_sensor_bev_unknown_visibility,216.7163,False,
1,0,0.14,-2.1994,0.5967,0.0,-0.7839,-2.5821,0.5967,-2.7489,-0.9239,-0.3827,-2.7489,1.0,True,True,False,0.0,1.4657,astar_bev_grid_unknown_penalty,745,745,real_sensor_bev_unknown_visibility,744.7069,False,
1,1,0.14,-2.1994,0.5967,0.0,-0.2427,-3.1233,0.5967,-1.9635,-0.3827,-0.9239,-1.9635,1.0,True,True,False,0.0,1.7257,astar_bev_grid_unknown_penalty,745,745,real_sensor_bev_unknown_visibility,744.6549,False,
1,2,0.14,-2.1994,0.5967,0.0,0.5227,-3.1233,0.5967,-1.1781,0.3827,-0.9239,-1.1781,1.0,True,True,False,0.0,1.7257,astar_bev_grid_unknown_penalty,743,743,real_sensor_bev_unknown_visibility,742.6549,False,
1,3,0.14,-2.1994,0.5967,0.0,1.0639,-2.5821,0.5967,-0.3927,0.9239,-0.3827,-0.3927,1.0,True,True,False,0.0,1.2843,astar_bev_grid_unknown_penalty,628,628,real_sensor_bev_unknown_visibility,627.7431,False,
1,4,0.14,-2.1994,0.5967,0.0,1.0639,-1.8167,0.5967,0.3927,0.9239,0.3827,0.3927,1.0,False,True,True,6.0,1.0243,astar_bev_grid_unknown_penalty,0,0,real_sensor_bev_unknown_visibility,-206.2049,False,collision_margin_occupied
1,5,0.14,-2.1994,0.5967,0.0,0.5227,-1.2755,0.5967,1.1781,0.3827,0.9239,1.1781,1.0,True,True,False,0.0,1.6257,astar_bev_grid_unknown_penalty,743,743,real_sensor_bev_unknown_visibility,742.6749,False,
